NOMBRE,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Damian JonesSAC/LAL/PHX,C,39,14.0,4.7,1.8,2.6,68.0,0.0,0.1,20.0,1.1,1.5,72.4,3.1,0.7,0.3,0.7,0.7,1,0,14.6
Grant WilliamsBOS,PF,63,18.1,4.7,1.7,3.9,43.7,0.8,2.0,37.2,0.5,0.8,58.8,2.8,1.0,0.5,0.4,0.9,0,0,7.54
Semi OjeleyeBOS,PF,56,17.0,4.6,1.6,3.9,40.3,1.0,2.8,36.7,0.4,0.6,75.0,2.6,0.7,0.3,0.0,0.4,0,0,8.28
JaKarr SampsonIND,SF,29,10.9,4.6,1.9,3.9,49.6,0.1,0.5,20.0,0.7,1.0,65.5,2.7,0.1,0.1,0.5,0.5,0,0,10.96
Nassir LittlePOR,SF,48,13.3,4.6,1.6,3.5,46.7,0.6,1.7,35.0,0.8,0.9,80.0,2.7,0.5,0.1,0.3,0.4,0,0,11.63
Onyeka OkongwuATL,PF,50,12.0,4.6,1.9,3.0,64.4,0.0,0.1,0.0,0.7,1.1,63.2,3.3,0.4,0.5,0.7,0.6,2,0,16.84
Kelan MartinIND,SG,35,9.2,4.5,1.8,3.9,44.9,0.7,1.7,40.0,0.3,0.3,90.0,2.2,0.5,0.3,0.3,0.5,0,0,13.91
Rodney HoodPOR/TOR,SG,55,17.1,4.5,1.7,4.7,36.2,0.6,2.1,30.1,0.4,0.5,85.7,1.9,1.0,0.4,0.1,0.7,0,0,5.6
Solomon HillATL,SF,71,21.3,4.5,1.5,4.2,35.9,1.0,3.0,32.1,0.5,0.6,76.1,3.0,1.1,0.7,0.2,0.6,0,0,6.71
Al-Farouq AminuCHI/ORL,PF,23,18.9,4.4,1.7,4.3,38.4,0.3,1.6,21.6,0.8,1.0,81.8,4.8,1.3,0.8,0.4,1.2,1,0,8.89
Stanley JohnsonTOR,F,61,16.5,4.4,1.5,3.8,38.2,0.7,2.2,32.8,0.7,0.9,80.0,2.5,1.5,0.9,0.3,0.9,2,0,8.84
Andre IguodalaMIA,F,63,21.3,4.4,1.5,3.9,38.3,1.0,2.9,33.0,0.4,0.6,65.8,3.5,2.3,0.9,0.6,1.1,0,0,9.23
Yuta WatanabeTOR,SF,50,14.5,4.4,1.6,3.6,43.9,0.7,1.8,40.0,0.5,0.6,82.8,3.2,0.8,0.5,0.4,0.4,0,0,12.25
Chandler HutchisonCHI/WSH,SF,25,13.8,4.3,1.6,4.1,37.9,0.3,0.9,36.4,0.8,1.0,84.0,3.1,0.7,0.5,0.2,0.8,0,0,6.83
John KoncharMEM,SG,43,13.4,4.3,1.6,3.2,50.0,0.5,1.3,37.5,0.6,0.7,83.3,3.0,1.1,0.7,0.2,0.4,0,0,14.85
Devin CannadyORL,G,8,9.3,4.3,1.4,3.5,39.3,0.8,2.0,37.5,0.8,0.9,85.7,0.6,0.1,0.6,0.1,0.3,0,0,11.25
Mike ScottPHI,PF,51,16.7,4.2,1.5,4.1,36.0,1.0,3.0,34.2,0.2,0.2,66.7,2.4,0.8,0.5,0.3,0.4,0,0,6.82
Jevon CarterPHX,PG,60,12.0,4.1,1.6,3.7,42.2,0.9,2.5,37.1,0.1,0.1,57.1,1.5,1.2,0.5,0.2,0.3,1,0,12.2
Lamar StevensCLE,F,40,12.5,4.1,1.6,3.4,45.6,0.1,0.6,16.0,0.9,1.3,72.5,2.4,0.6,0.4,0.3,0.6,1,0,10.53
Kevon LooneyGS,C,61,19.0,4.1,1.8,3.2,54.8,0.1,0.3,23.5,0.5,0.8,64.6,5.3,2.0,0.3,0.4,0.6,0,0,11.92
Paul WatsonTOR,SG,27,11.0,4.1,1.4,3.0,46.3,1.1,2.4,46.9,0.2,0.3,62.5,1.7,0.6,0.2,0.1,0.3,0,0,10.93
Nico MannionGS,PG,30,12.1,4.1,1.3,3.8,34.2,0.7,2.0,36.7,0.8,0.9,82.1,1.5,2.3,0.5,0.0,1.0,0,0,9.31
DaQuan JeffriesSAC/HOU,SG,31,15.9,4.1,1.6,3.9,41.7,0.6,2.2,29.9,0.2,0.3,87.5,2.3,0.7,0.5,0.3,0.5,0,0,7.94
Josh HallOKC,SF,21,16.0,4.1,1.4,4.7,30.3,0.2,1.8,10.8,1.0,2.1,50.0,2.8,1.3,0.2,0.0,1.2,1,0,1.06
Obi ToppinNY,PF,62,11.0,4.1,1.7,3.4,49.8,0.4,1.4,30.6,0.3,0.4,73.1,2.2,0.5,0.3,0.2,0.4,0,0,12.79
Darius MillerOKC,SF,18,10.9,4.1,1.2,2.7,45.8,0.9,2.3,40.5,0.7,0.7,100.0,1.3,1.2,0.7,0.3,0.4,0,0,15.95
Udonis HaslemMIA,PF,1,3.0,4.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,54.9
Chris ChiozzaBKN,F,22,10.5,4.0,1.4,4.0,35.2,0.6,1.9,31.0,0.6,0.8,76.5,1.1,3.0,0.3,0.3,0.7,1,0,12.92
Jordan BoneORL,G,14,14.0,4.0,1.6,3.9,42.6,0.7,2.3,31.3,0.0,0.0,0.0,1.7,1.3,0.1,0.0,0.2,0,0,8.89
Cody MartinCHA,SF,52,16.3,4.0,1.6,3.6,44.1,0.3,1.1,27.6,0.5,0.8,58.1,3.1,1.7,0.7,0.2,0.8,1,0,10.59
Carsen EdwardsBOS,PG,31,8.9,4.0,1.5,3.6,42.3,0.6,2.0,28.6,0.4,0.4,84.6,0.8,0.5,0.2,0.0,0.2,0,0,10.3
Matisse ThybullePHI,SG,65,20.0,3.9,1.6,3.7,42.0,0.7,2.2,30.1,0.1,0.3,44.4,1.9,1.0,1.6,1.1,0.5,0,0,10.13
Brodric ThomasCLE/HOU,G,32,12.5,3.9,1.2,3.4,36.1,0.5,1.8,27.1,1.0,1.4,67.4,1.7,0.9,0.5,0.3,0.7,0,0,8.0
Kevin Knox IINY,SF,42,11.0,3.9,1.3,3.4,39.2,0.8,2.1,39.3,0.4,0.5,80.0,1.5,0.5,0.3,0.1,0.4,0,0,9.15
Justin JamesSAC,G,36,8.6,3.9,1.4,3.1,46.8,0.4,1.1,36.8,0.6,1.0,58.3,0.8,0.6,0.2,0.1,0.4,0,0,11.36
Dante ExumCLE/HOU,PG,6,19.3,3.8,1.7,4.3,38.5,0.3,1.8,18.2,0.2,0.3,50.0,2.8,2.2,0.7,0.3,1.2,0,0,5.96
Ersan IlyasovaUTAH,PF,17,8.7,3.8,1.2,3.2,38.9,1.1,2.4,43.9,0.3,0.3,100.0,1.7,0.2,0.6,0.2,0.5,0,0,12.1
